,Need for Cognition,Need for closure,Susceptibility to persuasion,Skepticism,AI Expertise
605e1fc0be766e80d0104df3,0.45,0.5,0.625,0.625,0.6875
66656db67864801db6a0e2c6,0.9,0.4375,0.5625,0.75,0.625
61241440b58a4621e8c2f050,0.85,0.6875,0.75,0.8125,0.625
5fe230ee29598a57972db630,0.65,0.625,0.625,0.8125,0.6875
66073c4673a44d32dc246496,0.5,0.5,0.75,0.625,0.75
6845230f58a84bd958387c70,0.5,0.75,0.5,0.6875,0.625
677ced2e1a038fd5c8c3df1f,0.95,0.625,0.5625,0.75,0.625
683f9cd0caffa2a9c37df1a1,0.85,0.5,0.625,0.875,0.75
669a9bee096a778e4939c25c,0.75,0.625,0.5625,0.625,0.625
672541915a9a5ac8b878a28e,0.75,0.5625,0.5,0.75,0.5625
5be3493a7e3c9b0001c4ccf2,0.65,0.5,0.6875,0.8125,0.75
677052c959de45fd60f8d1a9,0.75,0.5625,0.6875,0.75,0.625
61301fcb49db2f170cb02b93,0.7,0.5,0.5,0.6875,0.5
67ec2ee26b7a8e18b2f9db17,0.65,0.625,0.625,0.625,0.6875
6830cd872910049f54995ce1,0.7,0.625,0.8125,0.5625,0.75
5debfbcc3a11682f0fae8b29,0.75,0.5,0.625,0.875,0.5
683f6c3dce829d044763dc82,0.4,0.625,0.4375,0.5625,0.25
673a14aafb72498ab623576e,0.65,0.5625,0.75,0.75,0.875
682985bebb62d4ca65616356,0.85,0.5,0.75,1.0,0.875
674066a20dd7ea932dfcd1ea,0.8,0.5,0.5625,0.8125,0.625
67f18f78356ff38124711038,0.7,0.8125,0.8125,0.75,0.6875
62b628e4351d179f1ff6cc59,0.8,0.8125,0.6875,0.9375,0.875
6728092788e31f69b592fda0,0.5,0.5,0.6875,0.6875,0.625
6843fe651abaf689397f6272,1.0,0.6875,1.0,1.0,0.8125
5fd25420fc18fb0008f9e30e,0.45,0.625,0.6875,1.0,0.6875
63cefafe1587b9e35702bc9e,0.75,0.5625,0.5625,0.6875,0.875
628db649ec2ce46bc626570f,0.45,0.375,0.6875,0.4375,0.75
682d114e29818c12f02ec5f2,0.55,0.8125,0.625,0.5,0.8125
682cd4f87a661056730a3da7,0.45,0.625,0.8125,0.6875,0.6875
5da8edc60f9c9c0017526948,0.55,0.375,0.25,0.4375,0.6875
682fc9e77ae4d357da67aa37,0.45,0.625,0.5625,0.5,0.4375
66d2537675f4f1fc0aded926,0.75,0.875,0.625,0.9375,0.6875
682d848ac20a51839952fb4b,0.6,0.625,0.5,0.625,0.5625
67d4aa994ac97e137cc0aeea,0.8,0.75,0.9375,0.6875,0.8125
6624638357b56eb340c8f109,0.95,0.6875,0.4375,0.6875,0.75
6334b0fc574064de4e68f578,0.75,0.5,0.625,0.75,0.6875
6835366980772e13a3c4a33a,0.6,0.6875,0.9375,0.875,0.6875
68393ac0ab1ff7d7a62887ad,0.6,0.5625,0.8125,0.625,0.6875
62903d86dad1252ede51100f,0.65,0.4375,0.5625,0.75,0.75
684237cc3a8a5f73f3ebe87e,0.55,0.75,0.6875,0.875,0.5
60fb26e75427cb8125f2e4a4,0.5,0.6875,0.625,0.8125,0.625
683e13af41f9dc72801b4751,0.8,0.6875,0.75,0.9375,0.625
5f4a7a00dc1bde60ab8f7ac5,0.75,0.5625,0.6875,0.8125,0.875
67c8be202c626cbbaa030d6c,0.6,0.5,0.375,0.8125,0.375
6638e6601cddfd62522b3913,0.55,0.5625,0.5,0.625,0.5
67e2b20be12da665d555064d,0.55,0.5625,0.875,0.8125,0.4375
671ce7ade7a5cd2edc847b94,0.9,0.75,0.6875,0.875,0.625
682cc145c3109c0dde100bc5,0.6,0.625,0.75,0.75,0.625
6772635d620fb499e8d268e6,0.7,0.5625,0.875,0.8125,0.5625
677afb901c6dd9780bdcca85,0.95,0.5625,0.875,0.875,0.625
6734f1a1bb7c7049f1af7029,0.65,0.5625,0.75,0.5625,0.5
6764cce7a10cc8e279651a57,0.55,0.4375,0.5625,0.6875,0.625
