,PROLIFIC_PID,ExplanationPair,Need_for_Cognition,Need_for_closure,Susceptibility_to_persuasion,Skepticism,AI_Expertise,Domain,flipped_dim,MetricType,Evaluation
16576,2,000000v000010,0.7,0.375,0.6875,0.5625,0.875,low,Detail,Trustworthiness,1
16771,2,000000v000010,0.7,0.375,0.6875,0.5625,0.875,low,Detail,Transparency,1
16966,2,000000v000010,0.7,0.375,0.6875,0.5625,0.875,low,Detail,Usefulness,1
11116,2,000000v000100,0.7,0.375,0.6875,0.5625,0.875,low,Formality,Trustworthiness,1
11311,2,000000v000100,0.7,0.375,0.6875,0.5625,0.875,low,Formality,Transparency,1
11506,2,000000v000100,0.7,0.375,0.6875,0.5625,0.875,low,Formality,Usefulness,1
4096,2,000111v010111,0.7,0.375,0.6875,0.5625,0.875,low,Length,Trustworthiness,1
4291,2,000111v010111,0.7,0.375,0.6875,0.5625,0.875,low,Length,Transparency,1
4486,2,000111v010111,0.7,0.375,0.6875,0.5625,0.875,low,Length,Usefulness,1
26716,2,001010v001110,0.7,0.375,0.6875,0.5625,0.875,low,Formality,Trustworthiness,1
26911,2,001010v001110,0.7,0.375,0.6875,0.5625,0.875,low,Formality,Transparency,1
27106,2,001010v001110,0.7,0.375,0.6875,0.5625,0.875,low,Formality,Usefulness,1
39976,2,010011v010111,0.7,0.375,0.6875,0.5625,0.875,low,Formality,Trustworthiness,1
40171,2,010011v010111,0.7,0.375,0.6875,0.5625,0.875,low,Formality,Transparency,1
40366,2,010011v010111,0.7,0.375,0.6875,0.5625,0.875,low,Formality,Usefulness,1
68056,2,100010v100110,0.7,0.375,0.6875,0.5625,0.875,high,Formality,Trustworthiness,1
68251,2,100010v100110,0.7,0.375,0.6875,0.5625,0.875,high,Formality,Transparency,1
68446,2,100010v100110,0.7,0.375,0.6875,0.5625,0.875,high,Formality,Usefulness,1
100036,2,101000v111000,0.7,0.375,0.6875,0.5625,0.875,high,Length,Trustworthiness,0
100231,2,101000v111000,0.7,0.375,0.6875,0.5625,0.875,high,Length,Transparency,0
100426,2,101000v111000,0.7,0.375,0.6875,0.5625,0.875,high,Length,Usefulness,0
85996,2,101101v101111,0.7,0.375,0.6875,0.5625,0.875,high,Detail,Trustworthiness,0
86191,2,101101v101111,0.7,0.375,0.6875,0.5625,0.875,high,Detail,Transparency,1
86386,2,101101v101111,0.7,0.375,0.6875,0.5625,0.875,high,Detail,Usefulness,1
109396,2,110100v111100,0.7,0.375,0.6875,0.5625,0.875,high,Structure,Trustworthiness,1
109591,2,110100v111100,0.7,0.375,0.6875,0.5625,0.875,high,Structure,Transparency,1
109786,2,110100v111100,0.7,0.375,0.6875,0.5625,0.875,high,Structure,Usefulness,1
122656,2,111010v111011,0.7,0.375,0.6875,0.5625,0.875,high,Persuasiveness,Trustworthiness,1
122851,2,111010v111011,0.7,0.375,0.6875,0.5625,0.875,high,Persuasiveness,Transparency,0
123046,2,111010v111011,0.7,0.375,0.6875,0.5625,0.875,high,Persuasiveness,Usefulness,0
20477,3,000001v010001,0.7,0.25,0.5,0.75,0.5,low,Length,Trustworthiness,1
20672,3,000001v010001,0.7,0.25,0.5,0.75,0.5,low,Length,Transparency,1
20867,3,000001v010001,0.7,0.25,0.5,0.75,0.5,low,Length,Usefulness,1
10337,3,000101v010101,0.7,0.25,0.5,0.75,0.5,low,Length,Trustworthiness,0
