"Predictor","Coefficient","SE","z","p_value","Significance"
"(Intercept)",0.484,0.714,0.677,0.498,""
"Need_for_Cognition",-0.17,0.611,-0.278,0.781,""
"Need_for_closure",0.504,0.623,0.809,0.419,""
"Susceptibility_to_persuasion",0.255,0.538,0.474,0.635,""
"Skepticism",-1.321,0.702,-1.882,0.06,""
"AI_Expertise",0.692,0.593,1.167,0.243,""
"Detail",1.009,0.901,1.119,0.263,""
"Formality",0.595,0.88,0.677,0.499,""
"Length",0.616,0.847,0.728,0.467,""
"Persuasiveness",-1.638,0.866,-1.892,0.058,""
"Structure",-0.582,2.71,-0.215,0.83,""
"Need_for_Cognition:Detail",0.841,0.745,1.129,0.259,""
"Need_for_Cognition:Formality",1.348,0.74,1.822,0.068,""
"Need_for_Cognition:Length",0.535,0.745,0.717,0.473,""
"Need_for_Cognition:Persuasiveness",0.014,0.717,0.02,0.984,""
"Need_for_Cognition:Structure",-2.737,2.324,-1.178,0.239,""
"Need_for_closure:Detail",-2.751,0.789,-3.485,0,"***"
"Need_for_closure:Formality",-0.738,0.777,-0.949,0.342,""
"Need_for_closure:Length",-2.401,0.771,-3.115,0.002,"**"
"Need_for_closure:Persuasiveness",-0.662,0.741,-0.893,0.372,""
"Need_for_closure:Structure",6.553,2.349,2.789,0.005,"**"
"Susceptibility_to_persuasion:Detail",-0.992,0.7,-1.416,0.157,""
"Susceptibility_to_persuasion:Formality",-1.884,0.695,-2.711,0.007,"**"
"Susceptibility_to_persuasion:Length",-0.185,0.649,-0.285,0.776,""
"Susceptibility_to_persuasion:Persuasiveness",1.677,0.677,2.479,0.013,"*"
"Susceptibility_to_persuasion:Structure",1.383,2.064,0.67,0.503,""
"Skepticism:Detail",3.332,0.876,3.804,0,"***"
"Skepticism:Formality",1.882,0.833,2.258,0.024,"*"
"Skepticism:Length",2.358,0.867,2.721,0.007,"**"
"Skepticism:Persuasiveness",0.606,0.802,0.756,0.45,""
"Skepticism:Structure",-8.178,2.661,-3.073,0.002,"**"
"AI_Expertise:Detail",-1.569,0.771,-2.035,0.042,"*"
"AI_Expertise:Formality",-0.992,0.73,-1.359,0.174,""
"AI_Expertise:Length",-0.749,0.734,-1.021,0.307,""
"AI_Expertise:Persuasiveness",-0.546,0.717,-0.761,0.446,""
"AI_Expertise:Structure",3.856,2.251,1.713,0.087,""
