"Predictor","Coefficient","SE","z","p_value","Significance"
"(Intercept)",2.539,0.609,4.167,0,"***"
"Need_for_Cognition",-0.084,0.574,-0.147,0.883,""
"Need_for_closure",-0.127,0.549,-0.231,0.817,""
"Susceptibility_to_persuasion",-0.02,0.55,-0.036,0.971,""
"Skepticism",-0.834,0.638,-1.307,0.191,""
"AI_Expertise",-2.21,0.579,-3.817,0,"***"
"Detail",0.117,0.755,0.155,0.877,""
"Formality",-0.751,0.736,-1.021,0.307,""
"Length",-0.459,0.798,-0.575,0.565,""
"Persuasiveness",-4.166,0.769,-5.416,0,"***"
"Structure",5.26,2.36,2.228,0.026,"*"
"Need_for_Cognition:Detail",0.57,0.715,0.797,0.425,""
"Need_for_Cognition:Formality",0.401,0.69,0.581,0.561,""
"Need_for_Cognition:Length",0.19,0.733,0.26,0.795,""
"Need_for_Cognition:Persuasiveness",-1.17,0.684,-1.709,0.087,""
"Need_for_Cognition:Structure",0.009,2.211,0.004,0.997,""
"Need_for_closure:Detail",-0.937,0.675,-1.387,0.165,""
"Need_for_closure:Formality",-0.714,0.673,-1.061,0.289,""
"Need_for_closure:Length",-0.671,0.717,-0.936,0.349,""
"Need_for_closure:Persuasiveness",1.395,0.667,2.093,0.036,"*"
"Need_for_closure:Structure",0.926,2.116,0.438,0.662,""
"Susceptibility_to_persuasion:Detail",-0.739,0.681,-1.085,0.278,""
"Susceptibility_to_persuasion:Formality",-1.054,0.679,-1.552,0.121,""
"Susceptibility_to_persuasion:Length",0.747,0.732,1.021,0.307,""
"Susceptibility_to_persuasion:Persuasiveness",0.452,0.683,0.661,0.509,""
"Susceptibility_to_persuasion:Structure",0.594,2.13,0.279,0.78,""
"Skepticism:Detail",-0.946,0.846,-1.118,0.264,""
"Skepticism:Formality",0.406,0.815,0.498,0.618,""
"Skepticism:Length",0.829,0.82,1.012,0.312,""
"Skepticism:Persuasiveness",2.57,0.789,3.259,0.001,"**"
"Skepticism:Structure",-2.86,2.483,-1.152,0.249,""
"AI_Expertise:Detail",2.659,0.708,3.756,0,"***"
"AI_Expertise:Formality",2.454,0.702,3.494,0,"***"
"AI_Expertise:Length",0.804,0.744,1.08,0.28,""
"AI_Expertise:Persuasiveness",1.956,0.716,2.732,0.006,"**"
"AI_Expertise:Structure",-7.873,2.232,-3.527,0,"***"
